id;start_date;end_date;language
1;2020-10-29T12:09:58;2020-10-29T10:00:13;SPANISH
2;2020-10-28T17:00:09;2020-10-29T12:04:34;SPANISH
3;2020-10-29T07:55:28;2020-10-28T18:29:37;FRENCH
4;2020-10-28T23:12:59;2020-10-29T10:44:25;FRENCH
5;2020-10-29T08:43:17;2020-10-29T13:30:16;FRENCH
6;2020-10-29T02:35:38;2020-10-29T14:43:52;FRENCH
7;2020-10-29T04:20:58;2020-10-28T22:11:49;FRENCH
8;2020-10-29T03:17:11;2020-10-29T13:33:19;SPANISH
9;2020-10-29T01:58:20;2020-10-28T22:39:43;SPANISH
10;2020-10-29T10:10:24;2020-10-28T20:44:54;SPANISH
